title,description,genre,duration,release_year,movie_rating
Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Action,63,1993-01-01,8.2
Doctor Strange in the Multiverse of Madness,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Wit... Read all",Action,200,2022-01-01,7.2
No Time to Die,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Action,250,2021-01-01,7.3
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Action,369,2022-01-01,7.9
Bullet Train,Five assassins aboard a fast moving bullet train find out their missions have something in common.,Action,100,2022-01-01,
Bullet Train,"Criminals plant a bomb on a high-speed train. It will explode when the train slows down, unless a ransom is paid.",Action,100,2022-01-01,6.8
Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Action,150,2015-01-01,6.9
Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Action,170,2018-01-01,6.1
Vikram,"Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved.",Action,2,2022-01-01,8.8
Morbius,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Action,75,2022-01-01,5.1
The Lost City,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,Action,1,2022-01-01,6.2
Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Action,200,2021-01-01,8.3
Last Seen Alive,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,Action,1,2022-01-01,5.6
Sonic the Hedgehog 2,"When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",Action,2,2022-01-01,6.6
Uncharted,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Action,1,2022-01-01,6.4
Prey,"The origin story of the Predator in the world of the Comanche Nation 300 years ago. Naru, a skilled female warrior, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.",Action,100,2022-01-01,
Prey,"PREY tells the story of Nathan (BEAU TRAVAIL'S Gregoire Colin) who is at a countryside retreat for a Fall family reunion that he expects to be particularly stormy. Claire, his wife, has to announce her pregnancy and there are tough decisions that need to be made to prevent the fa... Read all",Adventure,100,2022-01-01,5.2
Prey,A zoo veterinarian gets caught up in a grisly adventure as she finds herself leading the city-wide hunt for a monstrous lion terrorizing the Dutch capital of Amsterdam.,Comedy,1,2022-01-01,5.3
Ambulance,Two robbers steal an ambulance after their heist goes awry.,Action,2,2022-01-01,6.1
Ambulance,"Two brothers commit a robbery out of desperation. However, when it all goes wrong they decide to steal an ambulance, but they soon realize that they are not alone.",Action,1,2022-01-01,5.3
The Lost World: Jurassic Park,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",Action,73,1997-01-01,6.5
Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Action,165,1984-01-01,8.0
Dune,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,Action,40,1984-01-01,6.3
Jurassic Park III,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",Action,93,2001-01-01,5.9
Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Action,11,1977-01-01,8.6
The Gray Man,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",Action,100,2022-01-01,
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Action,356,2019-01-01,8.4
The Lady of Heaven,"Two stories separated by 1400 years: after losing his mother in the midst of a war-torn country, an Iraqi child learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.",Action,15,2021-01-01,5.7
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Action,140,2003-01-01,8.1
Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Action,200,2021-01-01,6.3
Free Guy,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",Action,120,2021-01-01,7.1
The Matrix Resurrections,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",Action,190,2021-01-01,5.7
Mission: Impossible,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Action,80,1996-01-01,7.1
Memory,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.,Action,1,2022-01-01,5.6
Memory,Plot kept under wraps.,Drama,100,2022-01-01,
Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",Action,115,1999-01-01,6.5
The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",Action,100,2022-01-01,6.7
The King's Man,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",Action,37,2021-01-01,6.3
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action,185,2008-01-01,9.0
Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",Action,160,2018-01-01,6.8
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Action,22,2019-01-01,7.8
Mission: Impossible - Fallout,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Action,178,2018-01-01,7.7
Samrat Prithviraj,A fearless warrior. An epic love story. Witness the grand saga of Samrat Prithviraj Chauhan.,Action,2,2022-01-01,7.6
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Action,150,2017-01-01,8.0
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Action,160,2010-01-01,8.8
Moonfall,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,Action,150,2022-01-01,5.2
Avatar: The Way of Water,"Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet.",Action,100,2022-01-01,
Major,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Action,2,2022-01-01,8.7
Star Wars: Episode III - Revenge of the Sith,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",Action,113,2005-01-01,7.6
Mission: Impossible - Dead Reckoning - Part One,Seventh entry in the long-running Mission: Impossible series.,Action,100,2023-01-01,
The Contractor,"A discharged U.S. Special Forces sergeant, James Harper, risks everything for his family when he joins a private contracting organization.",Action,1,2022-01-01,5.8
The Contractor,A group of young international military fighters join with their tough veteran leader to protect a young boy whose family was murdered. Now they must figure out who are the good guys and bad guys before they all end up dead.,Action,1,2022-01-01,5.2
Road House,A tough bouncer is hired to tame a dirty bar.,Action,17,1989-01-01,6.6
Mission: Impossible - Ghost Protocol,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Action,145,2011-01-01,7.4
Star Wars: Episode IX - The Rise of Skywalker,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",Action,275,2019-01-01,6.5
Venom: Let There Be Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",Action,110,2021-01-01,5.9
Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Action,60,1995-01-01,8.3
Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",Action,16,2021-01-01,7.4
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Action,237,2009-01-01,7.8
The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",Action,185,2021-01-01,7.2
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Action,321,2018-01-01,8.4
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Action,180,2017-01-01,7.9
Spree,"Thirsty for a following, Kurt Kunkle is a rideshare driver who has figured out a deadly plan to go viral.",Action,1,2020-01-01,5.9
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Action,170,2014-01-01,8.0
The Last Duel,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,Action,100,2021-01-01,7.4
Mission: Impossible II,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",Action,125,2000-01-01,6.1
Wrath of Man,"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",Action,40,2021-01-01,7.1
Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Action,230,2017-01-01,6.5
Star Wars: Episode II - Attack of the Clones,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",Action,115,2002-01-01,6.6
Sonic the Hedgehog,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",Action,85,2020-01-01,6.5
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Action,93,2001-01-01,8.8
Aquaman and the Lost Kingdom,Plot unknown. Sequel to the 2018 film 'Aquaman.',Action,100,2023-01-01,
Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Action,32,1983-01-01,8.3
The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Action,230,2012-01-01,6.9
Spectre,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",Action,245,2015-01-01,6.8
The Hunger Games: The Ballad of Songbirds and Snakes,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Action,100,2023-01-01,
Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Action,130,2009-01-01,7.6
Tenet,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Action,205,2020-01-01,7.3
Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Action,200,2021-01-01,7.4
Ghostbusters,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",Action,30,1984-01-01,7.8
The Hunger Games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Action,78,2012-01-01,7.2
The Mortal Instruments: City of Bones,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.",Action,2,2013-01-01,5.8
Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Action,200,2021-01-01,6.7
Willow,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,Action,35,1988-01-01,7.2
Independence Day,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Action,75,1996-01-01,7.0
Mission: Impossible - Rogue Nation,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,Action,150,2015-01-01,7.4
Casino Royale,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Action,150,2006-01-01,8.0
The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Action,93,1997-01-01,7.6
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Action,58,2016-01-01,8.0
Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Action,165,2016-01-01,7.5
Enola Holmes,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",Action,20,2020-01-01,6.6
Divergent,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Action,85,2014-01-01,6.6
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",Action,2,2016-01-01,7.3
Spider-Man,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Action,139,2002-01-01,7.4
Operation Fortune: Ruse de guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Action,1,2022-01-01,7.2
Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Action,4,2021-01-01,8.0
Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Action,28,1988-01-01,8.2
Mission: Impossible III,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,Action,150,2006-01-01,6.9
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Action,20,1982-01-01,8.1
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Action,150,2015-01-01,8.1
K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Action,2,2022-01-01,8.5
White Elephant,An ex-marine enforcer must battle his conscience and code of honor when he is forced to do things for the mob.,Action,1,2022-01-01,5.0
Blacklight,"Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.",Action,1,2022-01-01,4.7
Pirates of the Caribbean: Dead Man's Chest,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Action,225,2006-01-01,7.3
Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Action,175,2017-01-01,7.4
Resident Evil: Welcome to Raccoon City,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",Action,25,2021-01-01,5.2
Captain Marvel,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Action,160,2019-01-01,6.8
Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Action,18,1986-01-01,8.4
1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Action,95,2019-01-01,8.2
Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Action,245,2015-01-01,7.8
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Action,63,1999-01-01,8.7
The Flash,"The plot is unknown. Feature film based on the comic book superhero, The Flash.",Action,100,2023-01-01,
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Action,103,2000-01-01,8.5
Kingsman: The Secret Service,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Action,81,2014-01-01,7.7
Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,Action,15,1987-01-01,7.8
Red Notice,"An Interpol agent successfully tracks down the world's most wanted art thief, with help from a rival thief. But nothing is as it seems, as a series of double-crosses ensue.",Action,1,2021-01-01,6.3
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Animation,1,2018-01-01,8.4
The Mummy,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Action,80,1999-01-01,7.1
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Action,150,2005-01-01,8.2
Star Wars: Episode VIII - The Last Jedi,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",Action,317,2017-01-01,6.9
21 Bridges,An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.,Crime,33,2019-01-01,6.6
Apocalypto,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Action,40,2006-01-01,7.8
Jack Reacher,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,Action,2,2012-01-01,7.0
Drive,"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor.",Action,15,2011-01-01,7.8
Pirates of the Caribbean: On Stranger Tides,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",Action,250,2011-01-01,6.6
Oblivion,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Action,120,2013-01-01,7.0
The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",Action,14,2020-01-01,6.5
The Hunt,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Drama,1,2020-01-01,8.3
300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Action,65,2006-01-01,7.6
Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,Action,175,2016-01-01,5.9
The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Action,250,2012-01-01,8.4
Starship Troopers,"Humans in a fascist, militaristic future wage war with giant alien bugs.",Action,105,1997-01-01,7.3
The Old Guard,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,Action,70,2020-01-01,6.6
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Action,94,2003-01-01,9.0
Pirates of the Caribbean: At World's End,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Action,300,2007-01-01,7.1
Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Action,2,2018-01-01,7.3
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",Action,178,2014-01-01,7.9
Dunkirk,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Action,100,2017-01-01,7.8
The Marvels,Sequel of the 2019 title 'Captain Marvel'.,Action,100,2023-01-01,
Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",Action,1,2017-01-01,5.5
Waterworld,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",Action,175,1995-01-01,6.2
John Wick,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,Action,20,2014-01-01,7.4
Twister,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",Action,92,1996-01-01,6.4
Black Hawk Down,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis.",Action,92,2001-01-01,7.7
Deadpool 2,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Action,110,2018-01-01,7.7
Thor,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Action,150,2011-01-01,7.0
Skyfall,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Action,200,2012-01-01,7.8
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Action,140,2008-01-01,7.9
Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Action,3,2013-01-01,8.4
Oldboy,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",Action,30,2013-01-01,5.7
The Man from Toronto,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,Action,1,2022-01-01,5.8
Black Panther: Wakanda Forever,A sequel that will continue to explore the world of Wakanda and all the characters introduced in the 2018 film.,Action,100,2022-01-01,
The Informer,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,Action,1,2019-01-01,6.6
Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Action,30,2015-01-01,7.6
